sta  stla  stlo  az  dist  pga  pgv
W17D 24.028416 120.697750 304.021 75.148 1.489004 0.139981
W17E 24.183444 120.929583 326.829 70.6471 1.137718 0.081597
W17F 24.057277 120.697750 306 76.9711 3.818736 0.207123
W180 24.307083 120.695083 319.432 95.9825 1.198046 0.082977
W181 24.117888 120.795805 314.803 73.6733 1.441640 0.117930
W182 24.194055 120.812250 320.036 78.7352 2.937682 0.170085
W183 24.177083 120.979750 330.125 67.3698 4.311671 NULL
W184 24.222232 120.650180 313.469 92.3517 1.136278 0.081217
W185 24.327770 120.920767 332.261 84.877 2.269725 0.110514
W186 24.236972 120.880194 326.146 78.3631 2.814584 0.212261
W188 24.252805 120.834972 324.182 82.4357 1.664691 0.119564
W189 24.163777 120.881888 322.632 71.6825 1.077215 0.078395
W18A 24.202638 121.006277 333.259 68.576 4.115796 0.211486
W18B 24.171194 120.895861 323.935 71.4876 1.677323 0.114914
W18C 24.122861 120.751694 312.76 77.303 1.015099 0.157545
W18D 23.565100 120.475400 263.867 85.6946 4.724522 0.454190
W18E 23.514400 120.313000 261.804 102.873 3.233301 0.353193
W18F 23.342600 120.174500 253.867 120.877 2.321822 0.290824
W190 23.475246 120.619825 254.778 73.0713 2.391075 0.201944
W191 23.294647 120.591526 241.944 83.2862 7.065470 0.325411
W192 23.557642 120.481859 263.265 85.1376 1.943261 0.320695
W193 23.558023 120.554261 262.627 77.801 3.652246 0.298906
W194 23.461297 120.240665 259.376 111.16 2.265883 0.366438
W196 23.454856 120.330908 257.995 102.275 3.820095 0.384979
W197 23.542467 120.634280 260.337 69.9894 2.570618 0.256090
W198 23.555350 120.429316 263.523 90.4935 2.626450 0.376324
W199 23.529690 120.739670 257.221 59.7199 5.458538 0.225342
W19A 23.576848 120.590405 263.848 73.8823 3.268532 0.252331
W19B 23.467104 120.248046 259.629 110.297 2.993444 0.386291
W19C 23.381727 120.529968 249.701 85.0239 4.071911 0.193357
W19D 23.520225 120.553300 259.61 78.5663 4.076059 0.347386
W19E 23.576218 120.749962 261.975 57.7351 3.029371 0.302660
W19F 23.516364 120.808578 253.972 53.2804 7.070418 0.464405
W200 23.300359 120.666778 239.617 76.2722 3.655817 0.201707
W201 23.587508 120.551566 265.041 77.7063 2.642282 0.224853
W202 23.472400 120.670000 253.374 68.2365 3.650108 0.170022
W203 23.555508 120.669083 261.038 66.2449 2.874557 0.180321
W204 23.382941 120.668102 245.844 71.9196 7.296981 0.241924
W205 23.439022 120.604678 252.165 75.714 5.258597 0.390458
W207 23.424967 120.395420 255.24 96.6583 2.869506 0.307983
W208 23.468355 120.701414 252.18 65.3092 3.590146 0.204006
W209 23.553101 120.577240 261.98 75.5534 3.353459 0.375468
